#Stellar_Type,Mass,Luminosity,Radius,Temp,B-V,Mv,BC(Temp),Mbol
#None,Mstar/Msun,Lstar/Lsun,Rstar/Rsun,K,Color,Mag,Corr,Mag
C5V,0.50,0.01,0.19,3582.00,1.46,12.30,-1.84,10.46
C5VI,0.40,0.03,0.49,3582.00,1.46,10.30,-1.84,8.46
C6Ia,12.40,1570000.00,5180.00,2883.00,1.80,-7.20,-3.54,-10.74
C6Ia0,14.80,10900000.00,13600.00,2883.00,1.80,-9.30,-3.54,-12.84
C6Ib,10.00,273000.00,2160.00,2883.00,1.80,-5.30,-3.54,-8.84
C6II,7.60,27300.00,683.00,2883.00,1.80,-2.80,-3.54,-6.34
C6III,5.20,3950.00,260.00,2883.00,1.80,-0.70,-3.54,-4.24
C6IV,2.80,48.60,23.60,3187.00,1.64,3.20,-2.67,0.53
C6V,0.40,0.00,0.12,3187.00,1.64,14.60,-2.67,11.93
C6VI,0.30,0.00,0.19,3187.00,1.64,13.70,-2.67,11.03
C7Ia,11.60,4120000.00,10400.00,2585.00,1.98,-7.10,-4.69,-11.79
C7Ia0,13.90,28500000.00,27400.00,2585.00,1.98,-9.20,-4.69,-13.89
C7Ib,9.30,861000.00,4770.00,2585.00,1.98,-5.40,-4.69,-10.09
C7II,7.10,86100.00,1510.00,2585.00,1.98,-2.90,-4.69,-7.59
C7III,4.80,9440.00,499.00,2585.00,1.98,-0.50,-4.69,-5.19
C7IV,2.50,146.00,53.30,2791.00,1.86,3.20,-3.86,-0.66
C7V,0.30,0.00,0.10,2791.00,1.86,16.80,-3.86,12.94
C7VI,0.30,0.00,0.10,2791.00,1.86,16.80,-3.86,12.94
C8Ia,10.80,15600000.00,25900.00,2288.00,2.17,-7.00,-6.23,-13.23
C8Ia0,12.90,108000000.00,68200.00,2288.00,2.17,-9.10,-6.23,-15.33
C8Ib,8.70,3260000.00,11800.00,2288.00,2.17,-5.30,-6.23,-11.53
C8II,6.60,358000.00,3920.00,2288.00,2.17,-2.90,-6.23,-9.13
C8III,4.40,29700.00,1130.00,2288.00,2.17,-0.20,-6.23,-6.43
C8IV,2.30,670.00,155.00,2396.00,2.10,3.30,-5.61,-2.31
C8V,0.20,0.00,0.19,2396.00,2.10,17.90,-5.61,12.29
C8VI,0.20,0.00,0.16,2396.00,2.10,18.30,-5.61,12.69
C9Ia,10.00,103000000.00,87900.00,1990.00,2.40,-6.90,-8.38,-15.28
C9Ia0,12.00,711000000.00,231000.00,1990.00,2.40,-9.00,-8.38,-17.38
C9Ib,8.00,21500000.00,40200.00,1990.00,2.40,-5.20,-8.38,-13.58
C9II,6.00,2830000.00,14600.00,1990.00,2.40,-3.00,-8.38,-11.38
C9III,4.10,179000.00,3670.00,1990.00,2.40,0.00,-8.38,-8.38
C9IV,2.10,7910.00,764.00,2000.00,2.39,3.30,-8.30,-5.00
C9V,0.10,0.00,0.55,2000.00,2.39,19.00,-8.30,10.70
C9VI,0.10,0.00,0.55,2000.00,2.39,19.00,-8.30,10.70
DA0,1.10,6.91,0.01,100000.00,-0.37,10.20,-7.55,2.65
DA1,0.90,0.27,0.01,50400.00,-0.35,10.80,-4.61,6.19
DA2,0.80,0.03,0.01,25200.00,-0.27,11.40,-2.67,8.73
DA3,0.70,0.01,0.01,16800.00,-0.20,11.90,-1.60,10.30
DA4,0.60,0.00,0.01,12600.00,-0.13,12.50,-0.90,11.60
DA5,0.50,0.00,0.01,10080.00,-0.07,13.10,-0.45,12.65
DA6,0.40,0.00,0.01,8400.00,0.09,13.70,-0.20,13.50
DA7,0.30,0.00,0.01,7200.00,0.34,14.20,-0.09,14.11
DA8,0.20,0.00,0.01,6300.00,0.55,14.80,-0.10,14.70
DA9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
DB0,1.10,6.91,0.01,100000.00,-0.37,10.20,-7.55,2.65
DB1,0.90,0.27,0.01,50400.00,-0.35,10.80,-4.61,6.19
DB2,0.80,0.03,0.01,25200.00,-0.27,11.40,-2.67,8.73
DB3,0.70,0.01,0.01,16800.00,-0.20,11.90,-1.60,10.30
DB4,0.60,0.00,0.01,12600.00,-0.13,12.50,-0.90,11.60
DB5,0.50,0.00,0.01,10080.00,-0.07,13.10,-0.45,12.65
DB6,0.40,0.00,0.01,8400.00,0.09,13.70,-0.20,13.50
DB7,0.30,0.00,0.01,7200.00,0.34,14.20,-0.09,14.11
DB8,0.20,0.00,0.01,6300.00,0.55,14.80,-0.10,14.70
DB9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
DC0,1.10,6.91,0.01,100000.00,-0.37,10.20,-7.55,2.65
DC1,0.90,0.27,0.01,50400.00,-0.35,10.80,-4.61,6.19
DC2,0.80,0.03,0.01,25200.00,-0.27,11.40,-2.67,8.73
DC3,0.70,0.01,0.01,16800.00,-0.20,11.90,-1.60,10.30
DC4,0.60,0.00,0.01,12600.00,-0.13,12.50,-0.90,11.60
DC5,0.50,0.00,0.01,10080.00,-0.07,13.10,-0.45,12.65
DC6,0.40,0.00,0.01,8400.00,0.09,13.70,-0.20,13.50
DC7,0.30,0.00,0.01,7200.00,0.34,14.20,-0.09,14.11
DC8,0.20,0.00,0.01,6300.00,0.55,14.80,-0.10,14.70
DC9,0.10,0.00,0.01,5600.00,0.74,15.40,-0.22,15.18
DO0,1.10,6.91,0.01,100000.00,-0.37,10.20,-7.55,2.65
DO1,0.90,0.27,0.01,50400.00,-0.35,10.80,-4.61,6.19
DO2,0.80,0.03,0.01,25200.00,-0.27,11.40,-2.67,8.73
DO3,0.70,0.01,0.01,16800.00,-0.20,11.90,-1.60,10.30
DO4,0.60,0.00,0.01,12600.00,-0.13,12.50,-0.90,11.60
